"mag_id"	"source_sample"	"completeness"	"contamination"	"checkm2_completeness"	"checkm2_contamination"	"genome_length_bp"	"n50"	"quality_group"	"include_in_current_reference"	"note"
"SRR5262248rbin.19"	"SRR5262248"	"83.06"	"8.77"	"87.15"	"8.85"	"8507322"	"6106"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5450438rbin.2"	"SRR5450438"	"55.46"	"8.07"	"56.8"	"12.57"	"5395533"	"2446"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5450438rbin.5"	"SRR5450438"	"72.14"	"5.1100000000000003"	"84.54"	"6.07"	"5032845"	"4148"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5450747rbin.1"	"SRR5450747"	"91.96"	"5.88"	"89.65"	"2.94"	"5632831"	"7528"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5664280rbin.5"	"SRR5664280"	"51.72"	"8.7899999999999991"	"72.87"	"30.32"	"8176446"	"3612"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5665647rbin.2"	"SRR5665647"	"73.010000000000005"	"1.86"	"70.540000000000006"	"4.62"	"5351557"	"5395"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5665811rbin.1"	"SRR5665811"	"64.790000000000006"	"0.13"	"72.47"	"2.92"	"4322220"	"3444"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR5674476rbin.4"	"SRR5674476"	"86.37"	"4.4400000000000004"	"87.25"	"6.8"	"6386478"	"4994"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR7097862rbin.18"	"SRR7097862"	"60.92"	"3.95"	"67.92"	"3.68"	"4731488"	"5473"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR7097863rbin.22"	"SRR7097863"	"94.54"	"5.26"	"99.87"	"2.4300000000000002"	"11098991"	"35579"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8879130rbin.46"	"SRR8879130"	"94.27"	"8.31"	"96.96"	"12.61"	"8759086"	"25865"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8879131rbin.50"	"SRR8879131"	"89.72"	"3.78"	"94.35"	"5.94"	"7243426"	"28127"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8879134rbin.21"	"SRR8879134"	"96.52"	"9.43"	"99.99"	"13.56"	"8576871"	"25357"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8881005rbin.13"	"SRR8881005"	"59.62"	"1.75"	"72.36"	"4.43"	"5935809"	"25977"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8881005rbin.72"	"SRR8881005"	"97.37"	"9.99"	"100"	"11.51"	"8374672"	"88171"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8881006rbin.75"	"SRR8881006"	"97.11"	"4.3899999999999997"	"99.91"	"8.0500000000000007"	"8341146"	"21543"	"high_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8881008rbin.18"	"SRR8881008"	"75.900000000000006"	"1.75"	"85.38"	"4.6500000000000004"	"7402780"	"25456"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR8881010rbin.60"	"SRR8881010"	"66.73"	"1.75"	"82.6"	"4.5199999999999996"	"6422477"	"28446"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
