smag_index	mag_id	completeness	contamination	genome_length_bp	n50	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	closest_references	derep_sgb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size_bp_checkm2	total_coding_sequences	quality_group	source_file	source_sheet	row_number
17417	SRR3989121rbin.9	94.54	6.22	6127552	7177	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 79.1, 0.46	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	91.18	3.41	6127552	6200	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	17419
17497	SRR3989257rbin.11	78.17	4.7300000000000004	5343540	5260	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 79.0, 0.45	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	82.16	4.9400000000000004	5343540	5560	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	17499
23330	SRR5262248rbin.19	83.06	8.77	8507322	6106	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	87.15	8.85	8507322	8218	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	23332
24084	SRR5450438rbin.2	55.46	8.07	5395533	2446	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	56.8	12.57	5395533	6299	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	24086
24087	SRR5450438rbin.5	72.14	5.1100000000000003	5032845	4148	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	84.54	6.07	5032845	5738	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	24089
24089	SRR5450747rbin.1	91.96	5.88	5632831	7528	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	89.65	2.94	5632831	5844	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	24091
25187	SRR5664280rbin.5	51.72	8.7899999999999991	8176446	3612	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.58, 0.34	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	72.87	30.32	8176446	8768	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	25189
25240	SRR5665647rbin.2	73.010000000000005	1.86	5351557	5395	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.99, 0.43	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	70.540000000000006	4.62	5351557	5646	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	25242
25264	SRR5665811rbin.1	64.790000000000006	0.13	4322220	3444	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 79.13, 0.45	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	72.47	2.92	4322220	4842	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	25266
25281	SRR5674476rbin.4	86.37	4.4400000000000004	6386478	4994	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.84, 0.44	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	87.25	6.8	6386478	6838	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	25283
32404	SRR7097862rbin.18	60.92	3.95	4731488	5473	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	67.92	3.68	4731488	4854	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	32406
32431	SRR7097863rbin.22	94.54	5.26	11098991	35579	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	99.87	2.4300000000000002	11098991	9665	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	32433
37082	SRR8879130rbin.46	94.27	8.31	8759086	25865	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	96.96	12.61	8759086	7620	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37084
37211	SRR8879131rbin.50	89.72	3.78	7243426	28127	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	94.35	5.94	7243426	6303	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37213
37422	SRR8879134rbin.21	96.52	9.43	8576871	25357	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	99.99	13.56	8576871	7431	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37424
37622	SRR8881005rbin.13	59.62	1.75	5935809	25977	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	72.36	4.43	5935809	5115	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37624
37687	SRR8881005rbin.72	97.37	9.99	8374672	88171	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	100	11.51	8374672	7073	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37689
37766	SRR8881006rbin.75	97.11	4.3899999999999997	8341146	21543	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	99.91	8.0500000000000007	8341146	7352	high_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37768
37786	SRR8881008rbin.18	75.900000000000006	1.75	7402780	25456	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	85.38	4.6500000000000004	7402780	6363	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37788
37948	SRR8881010rbin.60	66.73	1.75	6422477	28446	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	82.6	4.5199999999999996	6422477	5595	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	37950
