run	continent	acidic_soil_type	bioproject	biosample	ecosystem	location	latitude	longitude	selection_reason	pH_status	include_in_global_balanced_pilot	source_type	soil_only	acidic_soil
SRR37443116	Europe	Acidic forest soil	PRJNA1431341	SAMN56009524	Forest soil	Europe			Europe representative; acidic/forest soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR38979036	North America	Peat/permafrost/tundra soil	PRJNA1474608	SAMN60601326	Peat/permafrost soil	North America			North America representative; peat/permafrost/tundra soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR38979037	North America	Peat/permafrost/tundra soil	PRJNA1474608	SAMN60601325	Peat/permafrost soil	North America			North America representative; peat/permafrost/tundra soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR38979038	North America	Peat/permafrost/tundra soil	PRJNA1474608	SAMN60601324	Peat/permafrost soil	North America			North America representative; peat/permafrost/tundra soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR38979043	North America	Peat/permafrost/tundra soil	PRJNA1474608	SAMN60601323	Peat/permafrost soil	North America			North America representative; peat/permafrost/tundra soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR38979054	North America	Peat/permafrost/tundra soil	PRJNA1474608	SAMN60601322	Peat/permafrost soil	North America			North America representative; peat/permafrost/tundra soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR38819981	South America	Amazon/tropical acidic soil candidate	PRJNA1470217	SAMN60399700	Amazon/tropical soil	South America			South America representative; Amazon/tropical soil candidate requiring pH confirmation	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR38819982	South America	Amazon/tropical acidic soil candidate	PRJNA1470217	SAMN60399708	Amazon/tropical soil	South America			South America representative; Amazon/tropical soil candidate requiring pH confirmation	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR38819983	South America	Amazon/tropical acidic soil candidate	PRJNA1470217	SAMN60399707	Amazon/tropical soil	South America			South America representative; Amazon/tropical soil candidate requiring pH confirmation	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR38819984	South America	Amazon/tropical acidic soil candidate	PRJNA1470217	SAMN60399706	Amazon/tropical soil	South America			South America representative; Amazon/tropical soil candidate requiring pH confirmation	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR38819985	South America	Amazon/tropical acidic soil candidate	PRJNA1470217	SAMN60399705	Amazon/tropical soil	South America			South America representative; Amazon/tropical soil candidate requiring pH confirmation	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR13757622	Africa	Acidic/Ferralsol/Acrisol soil candidate	PRJNA703480	SAMN18021383	Acidic/Ferralsol/Acrisol soil candidate	Africa			Africa representative; acidic soil/Ferralsol/Acrisol query candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR13757623	Africa	Acidic/Ferralsol/Acrisol soil candidate	PRJNA703480	SAMN18021382	Acidic/Ferralsol/Acrisol soil candidate	Africa			Africa representative; acidic soil/Ferralsol/Acrisol query candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR13757624	Africa	Acidic/Ferralsol/Acrisol soil candidate	PRJNA703480	SAMN18021381	Acidic/Ferralsol/Acrisol soil candidate	Africa			Africa representative; acidic soil/Ferralsol/Acrisol query candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR13757625	Africa	Acidic/Ferralsol/Acrisol soil candidate	PRJNA703480	SAMN18021380	Acidic/Ferralsol/Acrisol soil candidate	Africa			Africa representative; acidic soil/Ferralsol/Acrisol query candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR13757626	Africa	Acidic/Ferralsol/Acrisol soil candidate	PRJNA703480	SAMN18021379	Acidic/Ferralsol/Acrisol soil candidate	Africa			Africa representative; acidic soil/Ferralsol/Acrisol query candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	unknown
SRR26074164	Oceania	Acid sulfate soil	PRJNA1016489	SAMN37388008	Acid sulfate soil	Australia			Oceania representative; Australian acid sulfate soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR26074165	Oceania	Acid sulfate soil	PRJNA1016489	SAMN37388007	Acid sulfate soil	Australia			Oceania representative; Australian acid sulfate soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR26074166	Oceania	Acid sulfate soil	PRJNA1016489	SAMN37388006	Acid sulfate soil	Australia			Oceania representative; Australian acid sulfate soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR26074167	Oceania	Acid sulfate soil	PRJNA1016489	SAMN37388004	Acid sulfate soil	Australia			Oceania representative; Australian acid sulfate soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR26074168	Oceania	Acid sulfate soil	PRJNA1016489	SAMN37388049	Acid sulfate soil	Australia			Oceania representative; Australian acid sulfate soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR26386572	Antarctica	Polar soil	PRJNA746701	SAMN37813279	Polar soil	Byers Peninsula, Livingston Island, Antarctica	-62.6774377	-60.895534	Antarctica representative; Antarctic soil from NCBI Solibacter source project	soil_confirmed_from_biosample_metadata	yes	NCBI_Solibacter_source_project_reads	yes	yes
SRR26386574	Antarctica	Polar soil	PRJNA746701	SAMN37813277	Polar soil	Byers Peninsula, Livingston Island, Antarctica	-62.6774377	-60.895534	Antarctica representative; Antarctic soil from NCBI Solibacter source project	soil_confirmed_from_biosample_metadata	yes	NCBI_Solibacter_source_project_reads	yes	yes
SRR26386581	Antarctica	Polar soil	PRJNA746701	SAMN37813317	Polar soil	Byers Peninsula, Livingston Island, Antarctica	-62.6774377	-60.895534	Antarctica representative; Antarctic soil from NCBI Solibacter source project	soil_confirmed_from_biosample_metadata	yes	NCBI_Solibacter_source_project_reads	yes	yes
SRR26386599	Antarctica	Polar soil	PRJNA746701	SAMN37813274	Polar soil	Byers Peninsula, Livingston Island, Antarctica	-62.6774377	-60.895534	Antarctica representative; Antarctic soil from NCBI Solibacter source project	soil_confirmed_from_biosample_metadata	yes	NCBI_Solibacter_source_project_reads	yes	yes
SRR26386608	Antarctica	Polar soil	PRJNA746701	SAMN37813292	Polar soil	Byers Peninsula, Livingston Island, Antarctica	-62.6774377	-60.895534	Antarctica representative; Antarctic soil from NCBI Solibacter source project	soil_confirmed_from_biosample_metadata	yes	NCBI_Solibacter_source_project_reads	yes	yes
